# path	class	purpose
# Every current domains/*.md and projects/*.md owner must appear exactly once here.
# Removing an owner from this registry is an explicit retirement/migration act, not cleanup.
domains/ecommerce.md	domain	marketplace/e-commerce continuity fallback
domains/finance.md	domain	finance dated fallback and planning context
domains/health.md	domain	general health, sleep and medical continuity fallback
domains/learning.md	domain	learning and language-system continuity fallback
domains/mobility.md	domain	residence/migration/Germany continuity fallback
domains/nutrition.md	domain	nutrition policy/current fallback
domains/skill-capital.md	domain	skill-capital portfolio and compounding capability priorities
domains/social-capital.md	domain	professional/opportunity network strategy and reciprocal relationship-building continuity
domains/training.md	domain	training last-confirmed fallback
projects/trendyol-print-automation.md	project	active Trendyol print/order automation fallback
